policy,snapshots,episodes,mean_target_reach_reduction,mean_action_target_prob,mean_decoy_absorption,total_info_gain,mean_info_gain,total_entropy_reduction,mean_delay_gain,mean_utility,mean_oracle_utility,mean_utility_gap_to_oracle,policy_hit_rate_oracle,total_operational_cost,mean_operational_cost,total_churn,mean_churn
amc_oracle,1663,135,0.2092979555021046,0.5682814692323112,0.26730682501503306,553.7327117573745,0.332972165819227,815.4695256542016,0.053831187734244536,0.99931738988514,1.0,0.0006826101148601298,0.9500901984365604,728.4495172221958,0.4380333837776283,599,0.36019242333132895
true_info_only,1663,135,0.12910903988775302,0.6237785628382442,0.21818625977149725,649.3911692907857,0.3904937879078687,928.5286503396933,0.0022308030823582365,0.8897783019657928,1.0,0.11022169803420725,0.3824413710162357,692.9030921410024,0.4166585039933869,151,0.09079975947083584
proxy_info_only,1663,135,0.11123221086390056,0.643590899979956,0.180973140910002,646.5425680711148,0.388780858731879,915.6844600888935,0.0027878049350978287,0.8542105462316156,1.0,0.14578945376838442,0.2946482260974143,631.3391687835752,0.37963870642427855,430,0.25856885147324116
true_risk_only,1663,135,0.2539461815995189,0.5371128983764282,0.2962517538584887,412.35506206751376,0.2479585460418002,635.7459352960313,0.021968507910281338,0.8449345216357061,1.0,0.1550654783642938,0.31028262176788934,829.3210138453543,0.49868972570376086,460,0.2766085387853277
pred_info_only,1663,135,0.0831141010222489,0.6727487973541791,0.13733964722389252,623.3948821699138,0.37486162487667696,875.8654777123921,0.003086286967328083,0.783937910980226,1.0,0.2160620890197739,0.20505111244738425,564.1930813769995,0.33926222572278986,501,0.30126277811184604
proposed_value_policy,1663,135,0.1301049809581078,0.6253319803567848,0.21425260573261173,562.2389370199234,0.3380871539506454,818.4039989312342,0.004201829122602801,0.780963269835242,1.0,0.21903673016475797,0.22188815393866507,711.5148927646875,0.4278502061122595,627,0.37702946482260974
pred_risk_only,1663,135,0.13541040288634992,0.618491932250952,0.2288409500901984,447.07664539576604,0.2688374295825412,660.3675085380619,0.04922227695823172,0.6934598933760393,1.0,0.30654010662396075,0.15935057125676488,850.2295504568517,0.5112625077912518,446,0.26819001803968734
centrality_based,1663,135,0.11589246341952292,0.6379973441571457,0.19389531970334734,212.83177284036705,0.1279806210705755,330.8493251244038,0.2841314536537531,0.6745318371681084,1.0,0.32546816283189167,0.1106434155141311,904.0217101129889,0.5436089657925369,16,0.009621166566446182
proxy_delay_only,1663,135,0.11589246341952292,0.6379973441571457,0.19389531970334734,212.83177284036705,0.1279806210705755,330.8493251244038,0.2841314536537531,0.6745318371681084,1.0,0.32546816283189167,0.1106434155141311,904.0217101129889,0.5436089657925369,16,0.009621166566446182
true_delay_only,1663,135,0.10915263579875724,0.6521910703547805,0.15771572459410702,191.738925970388,0.11529700900203729,289.7613787983061,0.3010060772903591,0.6520006281738817,1.0,0.3479993718261182,0.10643415514131088,883.1794241066277,0.5310760217117425,264,0.158749248346362
phase3_fused,1663,135,0.14312738023652033,0.609509671276809,0.2426337943475646,318.4831394233487,0.19151120831229626,476.04616981889706,0.015989742347278586,0.5718691928210249,1.0,0.42813080717897517,0.03487672880336741,716.1686747451126,0.4306486318371092,61,0.03668069753457607
pred_delay_only,1663,135,0.0925536179595109,0.6653450090198436,0.14707356183603926,172.7484922517131,0.10387762612851058,263.5078547192555,0.2606661346186978,0.5489411281292006,1.0,0.4510588718707994,0.08538785327720987,826.9038567274808,0.4972362337507401,203,0.12206855081178593
proxy_risk_only,1663,135,0.17034350571256762,0.5808591401082381,0.2794648226097414,285.57843400111426,0.17172485508184862,453.5612774012257,0.004249459803548271,0.46566896968846927,1.0,0.5343310303115307,0.0012026458208057728,984.5967350637912,0.5920605743017385,69,0.04149128081779916
random_placement,1663,135,0.08667819202244936,0.6699614151132491,0.1358739226297855,329.4214871241302,0.1980886873867289,476.54952052005206,0.03480379615984626,0.4531742629830882,1.0,0.5468257370169117,0.035478051713770296,687.3598782740534,0.41332524249792746,1128,0.6782922429344558
static_low_cost,1663,135,0.07099368610944075,0.6884458308278213,0.10850746642613748,304.12067321607003,0.18287472833197235,425.0823207654353,0.017062131425124742,0.41261024054738915,1.0,0.5873897594526108,0.019242333132892364,526.6979430018365,0.31671553998907787,1,0.0006013229104028864
no_deception,1663,135,0.0,0.7499123070755663,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0
