scenario,stress_type,missing_rate,num_policies,proposed_mean_utility,proposed_target_reach_reduction,proposed_info_gain,proposed_oracle_gap,static_mean_utility,phase3_fused_mean_utility,pred_risk_only_mean_utility,proposed_minus_static_utility,proposed_minus_phase3_utility,proposed_minus_pred_risk_only_utility,delta_from_clean_proposed_mean_utility,delta_from_clean_proposed_mean_target_reach_reduction,delta_from_clean_proposed_mean_info_gain,delta_from_clean_proposed_mean_delay_gain,delta_from_clean_proposed_mean_utility_gap_to_oracle,delta_from_clean_proposed_mean_churn,delta_from_clean_proposed_policy_hit_rate_oracle,sigma,lag,severity,ratio
obs_missing_0pct,observation_missing,0.0,16,0.780963269835242,0.1301049809581078,0.3380871539506454,0.21903673016475797,0.41261024054738915,0.5718691928210249,0.6934598933760393,0.36835302928785285,0.20909407701421712,0.0875033764592027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
obs_missing_10pct,observation_missing,0.1,16,0.7649757731418907,0.12681649629184202,0.3320965502267365,0.23502422685810923,0.411855164179441,0.5075802425972408,0.6934598933760393,0.3531206089624497,0.2573955305446499,0.07151587976585139,-0.01598749669335131,-0.003288484666265773,-0.005990603723908916,0.002247557870874965,0.015987496693351255,0.019242333132892364,-0.018039687312086605,,,,
obs_missing_30pct,observation_missing,0.3,16,0.7653152603587184,0.1268916616556424,0.3319176494718186,0.23468473964128156,0.41227910125966816,0.4959857599057512,0.6934598933760393,0.3530361590990503,0.2693295004529672,0.07185536698267914,-0.01564800947652356,-0.003213319302465406,-0.006169504478826804,0.002935694552884797,0.01564800947652359,0.025255562236921214,-0.012627781118460607,,,,
obs_missing_50pct,observation_missing,0.5,16,0.7680876977787499,0.12774979955902985,0.33256873702037215,0.23191230222125017,0.41062893349181473,0.48512902438226607,0.6934598933760393,0.3574587642869351,0.2829586733964838,0.07462780440271055,-0.012875572056492146,-0.002355181399077949,-0.005518416930273273,0.0026425180666838233,0.012875572056492202,0.03607937462417321,-0.013229104028863514,,,,
noise_sigma_0.05,noise_injection,,16,0.7783430842193392,0.12764957907396268,0.3381368625202933,0.2216569157806609,0.410958591150455,0.629202866524266,0.4441221152079518,0.36738449306888415,0.14914021769507313,0.33422096901138737,-0.002620185615902826,-0.002455401884145114,4.9708569647866074e-05,0.0005037085825557218,0.002620185615902937,0.010222489476849062,-0.0024052916416115455,0.05,,,
noise_sigma_0.10,noise_injection,,16,0.7780423943481468,0.12694803567849267,0.33825155306501287,0.22195760565185324,0.40693479654008397,0.622172262581259,0.4494584320913259,0.37110759780806285,0.1558701317668878,0.3285839622568209,-0.002920875487095187,-0.003156945279615131,0.0001643991143674417,0.0004955667965068885,0.0029208754870952702,0.03908598917618761,-0.003006614552014425,0.1,,,
delayed_obs_lag_1,delayed_observation,,16,0.7743188088388783,0.1285578272198837,0.3359893018626783,0.2256811911611217,0.40757317785786423,0.6643663496195151,0.6934598933760393,0.36674563098101404,0.10995245921936314,0.08085891546283897,-0.0066444609963637324,-0.0015471537382240885,-0.0020978520879671447,0.0008530482515876677,0.0066444609963637324,0.0,-0.0054119061936259705,,1.0,,
delayed_obs_lag_2,delayed_observation,,16,0.7782964078377783,0.12976673682100617,0.336627191463443,0.22170359216222163,0.410792599600347,0.6518099923094279,0.6934598933760393,0.36750380823743134,0.12648641552835038,0.08483651446173901,-0.0026668619974636876,-0.00033824413710162315,-0.0014599624872024264,0.0009542417647215966,0.00266686199746366,-0.0006013229104028794,-0.001803968731208666,,2.0,,
wrong_prior_35pct,wrong_prior_belief,,16,0.7626126280103588,0.12526307877330123,0.33146288450255634,0.23738737198964116,0.40913695001010647,0.5792954731613531,0.6934598933760393,0.3534756780002523,0.18331715484900568,0.06915273463431948,-0.018350641824883218,-0.004841902184806568,-0.006624269448089082,0.0016388419777835254,0.01835064182488319,0.027660853878532787,-0.01683704149128082,,,0.35,
unseen_attacker_50pct,unseen_attacker_type,,16,0.5523633070401739,0.11384185833834433,0.26201754431175023,0.44763669295982617,0.3295833763120476,0.5786961094025697,0.5788894297954436,0.2227799307281263,-0.02633280236239577,-0.026526122755269665,-0.2285999627950681,-0.016263122619763468,-0.0760696096388952,0.0004201829122602802,0.2285999627950682,0.0,-0.14732411304870716,,,0.5,
decoy_aware_25pct,decoy_aware_ratio,,16,0.5846731656099138,0.12359973191020242,0.3000523491311978,0.4153268343900862,0.3349893865442031,0.5920223079826441,0.5940541741698506,0.24968377906571065,-0.007349142372730322,-0.009381008559936843,-0.19629010422532822,-0.006505249047905379,-0.0380348048194476,0.0,0.19629010422532825,0.0,-0.12507516536380037,,,,0.25
decoy_aware_50pct,decoy_aware_ratio,,16,0.5774845176680359,0.11709448286229703,0.26201754431175023,0.4225154823319641,0.3364969519280674,0.5882309076109682,0.5890756034370934,0.2409875657399685,-0.01074638994293231,-0.01159108576905754,-0.20347875216720612,-0.013010498095810771,-0.0760696096388952,0.0,0.20347875216720615,0.0,-0.1286831028262177,,,,0.5
decoy_aware_75pct,decoy_aware_ratio,,16,0.5687797119024046,0.11058923381439163,0.2239827394923026,0.4312202880975954,0.3383468150016846,0.5834941483971169,0.5829239036978479,0.23043289690072,-0.014714436494712269,-0.01414419179544324,-0.21218355793283739,-0.019515747143716164,-0.11410441445834282,0.0,0.2121835579328374,0.0,-0.1371016235718581,,,,0.75
